Easting,Northing,Elevation_m,Surface_cover
85201,33805,484,Grass/ Peatland cover
85201,33205,484,Grass/ Peatland cover
85203,33800,484,Grass/ Peatland cover
85204,33795,485,Grass/ Peatland cover
85203,33793,485,Grass/ Peatland cover
,,,
85140,33934,449,soil
85148,33932,490,Grass
85149,33929,490,Grass
85150,33920,489,Grass
85151,33915,489,Grass
85153,33910,489,Grass
85154,33900,486,Grass
85156,33896,486,Grass
85157,33890,487,Grass
85160,33884,485,Grass
85161,33880,483,Grass
85162,33876,485,Grass
85164,33870,483,Grass
85165,33868,482,Grass
85166,33861,480,Grass
85166,33861,480,Grass
85167,33856,480,Grass
85167,33851,479,Grass
85168,33849,477,Grass
85168,33847,478,Grass
85168,33844,475,Grass
85169,33843,475,Grass
85169,33843,475,Grass
85169,33838,475,Grass
85169,33834,473,river
85170,33834,473,Grass
85171,33831,473,Grass
85171,33830,473,Grass
85171,33830,473,Grass
85172,33827,474,Grass
85174,33824,474,Grass
85174,33822,474,Grass
85176,33821,475,Grass
85179,33818,475,Grass
85180,33815,476,Grass
85182,33811,476,Grass
85182,33808,478,Grass
85181,33808,478,Grass
85181,33802,480,Grass
,,,
85094,33926,480m,browny yellow grass
85101,33922,485m,
85102,33916,485m,tussock grass
85012,33916,485m,
85018,33899,484m,
85112,33880,484m,
85115,33866,480m,thick green grass
85115,33862,479m,
85114,33857,480m,
85115,33853,478m,white/yellow grass
85117,33849,477m,
85117,33846,476m,
85118,33841,475m,
85119,33840,474m,
85122,33826,473m,
85123,33821,472m,tussock grass patches
85123,33821,472m,
85123,33821,472m,
85123,33818,472m,
85124,33811,472m,
85124,33811,472m,
85125,33805,472m,
85125,33805,472m,tussock grass 
85126,33803,471m,"thin green grass, longer grass + tussock"
85127,33800,471m,STREAM - deposited rocks
85126,33797,472m,"rock deposits, longer tussock grass + other reeds"
85127,33797,473m,longer yellow grass
85133,33786,479m,shorter green grass
,,,
85125,33919,486,Grassy
85125,33917,488,Grassy. Patchy moss
85126,33912,486,Grassy. Patchy moss
85126,33907,487,Grassy. Patchy moss
85128,33902,487,Grassy
85130,33898,488,Grassy
85132,33894,487,Grassy
85134,33889,486,Grassy
85136,33884,486,Grassy
85137,33883,485,Grassy
85136,33882,485,Grassy
85138,33877,485,Grassy
85140,33874,484,Grassy
85142,33870,487,Grassy
85144,33864,480,Grassy
85146,33860,480,"Grassy, Moorland Grass (soft rush?)"
85148,33852,479,"Grassy, Moorland Grass (soft rush?)"
85149,33852,479,Grassy
85151,33848,477,Grassy
85152,33842,477,"River bank, bedrock"
85154,33840,475,River
85156,33836,475,River
85157,33834,475,River
85158,33832,476,"River bank, bedrock"
85158,33831,475,Grassy
85158,33829,472,"Grassy, Moorland Grass (soft rush?)"
85150,33828,473,"Grassy, Moorland Grass (soft rush?)"
85157,33827,471,Grassy
85157,33825,472,Grassy
85158,33823,472,"Grassy, Moorland Grass (soft rush?)"
85158,33822,472,Grassy
85159,33819,473,Grassy
85160,33814,474,Grassy
85161,33810,474,Grassy
85161,33807,474,Grassy
85162,33804,474,Grassy
85161,33790,473,Grassy
85161,33798,476,Grassy. Small rocks
85161,33794,476,Grassy. Rocky.
85162,33789,475,Grassy
85162,33786,477,Grassy. Patchy moss
85163,33783,479,Grassy. Patchy moss
85164,33776,481,Grassy. Patchy moss
85166,33777,481,Grassy
85166,33768,483,Grassy
85161,33763,482,Grassy
85167,33759,482,Grassy
85168,33758,482,Grassy
85171,33737,483,Grassy
85173,33743,483,Grassy
85174,33741,483,Grassy
,,,
85168,33934,490,
85169,33929,490,
85171,33927,488,
85171,33918,489,
85171,33916,487,
85172,33914,489,
85172,33912,486,
85175,33905,487,
85176,33901,486,
85179,33894,486,
85180,33888,483,
85181,33883,485,
85184,33875,480,
85185,33870,482,
85186,33864,479,
85185,33864,482,
85187,33861,478,
85187,33860,480,
85187,33858,479,
85189,33854,475,
85190,33853,474,
85189,33850,470,
85190,33848,470,
85192,33848,471,
85192,33845,471,
85191,33842,471,
85195,33835,473,
85195,33832,473,
85197,33825,474,
85197,33822,473,
85198,33821,474,
85198,33816,474,
85198,33813,474,
85199,33810,476,
85200,33804,478,
85201,33801,481,
85203,33799,484,
,,,
85126,33922,487,Land covered in grass
85125,33918,486,
85126,33913,488,
85128,33909,486,
85128,33906,486,
85130,33901,485,
85131,33899,485,
85132,33896,485,
85133,33896,486,
85133,33888,485,
85134,33886,483,
85137,33883,483,
85136,33883,482,Steep upslope of a mound in the hill
84137,33882,483,
85138,33878,482,
85139,33876,482,Major vegetation change to tussock grass
85139,33874,482,
85140,33874,481,
85141,33867,481,
85141,33865,480,Major vegetation change back to grass
85142,33859,478,
85144,33858,478,
85145,33855,476,
85246,33852,476,
85147,33850,476,
85147,33846,475,
85149,33844,474,
85149,33840,473,
85151,33837,474,
85150,33833,474,
85151,33830,474,
85153,33827,473,
85152,33827,473,
85153,33825,472,
85153,33824,472,
85154,33824,471,Rocky river bank
85155,33824,470,
85158,33821,479,Main river channel
85158,33815,471,
85160,33815,471,
85162,33812,471,
85164,33870,471,
85164,33808,471,
85164,33804,471,
85164,33802,471,Change in vegetation to moss
85164,33799,472,
85165,33796,474,
85165,33794,474,
85164,33794,474,
85164,33792,474,
85164,33789,474,
85163,33785,475,
85762,33781,477,
85163,33779,479,
,,,
85147,33933,491,
85150,33926,491,
85151,33923,489,
85151,33918,489,
85152,33914,489,
85152,33910,488,
85153,33910,487,
85160,33880,481,
85161,33878,482,
85161,33876,482,
85161,33874,482,
85161,33871,481,
83168,33864,480,
85164,33861,479,
85132,33907,488,
85153,33903,486,
85155,33901,487,
85153,33900,487,
85158,33891,483,
85159,33889,485,
85159,33884,485,
58164,33858,484,
85164,33855,478,
85165,3382,478,
85166,33846,475,
85166,33844,474,
85166,33842,473,
85167,33840,473,
85167,33837,470,
85171,33837,471,cliff to river
85170,33833,471,across river
85169,33831,471,
85170,33829,472,
85170,33826,472,
85172,33823,471,
85171,33821,471,
85172,33819,473,
85175,33810,473,
85176,33807,475,
85176,33805,475,
85177,33799,477,
85180,33795,479,
,,,
85101,33922,486,
85102,33924,484,
85102,33920,485,
85103,33916,483,
85103,33914,486,
85103,33912,485,
85106,33902,483,
85108,33896,483,
85109,33888,483,
85110,33885,481,
85113,33879,482,
85113,33878,481,
85113,33870,479,
85113,33865,480,
85115,33862,479,
85116,33856,478,
85117,33854,473,
85116,33852,473,
85117,33848,475,
85119,33844,473,
85119,33840,470,
85120,33835,473,
85122,33830,472,
85123,33828,472,
85123,33822,471,
85123,33820,471,
85124,33813,469,
85125,33807,469,
85123,33804,469,
85122,33801,467,
85122,33801,469,
85122,33800,468,
85123,33797,470,
85123,33795,468,
85124,33792,468,
85128,33791,473,
85129,33789,474,
85133,3784,476,
85134,33782,480,
85134,33782,480,
85138,33776,478,
85139,33770,479,
85141,33763,479,
85141,33766,479,
85141,33754,478,
85144,33743,479,
,,,
85101,33924,476,
85102,33923,488,
85103,33920,488,
85104,33916,487,
85105,33911,488,
85106,33902,488,
85107,33877,486,
85108,33872,484,
85109,33867,485,
85110,33860,484,
85111,33855,483,
85112,33854,483,
85113,33852,481,
85114,33849,477,
85115,33847,476,
85116,33845,478,
85117,33844,477,
85122,33841,475,
85122,33836,476,
85123,33834,474,
85123,33831,475,
85124,33829,477,
85123,33828,476,
85125,33826,476,
85127,33821,477,
85127,33819,475,
85127,33817,475,
" 85128,",33813,476,
" 85128,",33810,477,
"85130,",33804,476,
"85129,",33804,475,
"85131,",33802,477,
"85130, ",33799,475,
" 85120,",33799,474,
"85136,",33797,477,
